CODIGO;LONGITUD;LATITUD
"28079017";-3,7133167;40,347147
"28079018";-3,7318356;40,3947825
"28079024";-3,7473445;40,4193577
"28079027";-3,5800258;40,4769179
"28079035";-3,7031662;40,4192091
"28079036";-3,6453104;40,4079517
"28079038";-3,7071303;40,4455439
"28079039";-3,7115364;40,4782322
"28079040";-3,6515286;40,3881478
"28079047";-3,6868138;40,3980991
"28079048";-3,6903729;40,4398904
"28079049";-3,6824999;40,4144444
"28079050";-3,6887449;40,4655841
"28079054";-3,6121394;40,3730118
"28079055";-3,5805649;40,4623628
"28079056";-3,7187679;40,3850336
"28079057";-3,6605173;40,4942012
"28079058";-3,7746101;40,5180701
"28079059";-3,6163407;40,4607255
"28079060";-3,6897308;40,5005477
